# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
他在医院。	Tā zài yīyuàn.	He's at the hospital.
桌子上有什么？	Zhuōzi shàng yǒu shénme?	What's on the table?
桌子上有一个电脑和一本书。	Zhuōzi shàng yǒu yí ge diànnǎo hé yì běn shū.	There's a computer and a book on the table.
杯子在哪儿？	Bēizi zài nǎr?	Where's the cup?
杯子在桌子里。	Bēizi zài zhuōzi li.	The cup is in the desk.
前面那个人叫什么名字？	Qiánmiàn nàge rén jiào shénme míngzi?	What's the name of that person in front?
她叫王方，在医院工作。	Tā jiào Wáng Fāng, zài yīyuàn gōngzuò.	Her name is Wang Fang; she works at a hospital.
后面那个人呢？他叫什么名字？	Hòumiàn nàge rén ne? Tā jiào shénme míngzi?	And that person in back? What's his name?
他叫谢朋，在商店工作。	Tā jiào Xiè Péng, zài shāngdiàn gōngzuò.	His name is Xie Peng; he works at a store.
这儿有人吗？	Zhèr yǒu rén ma?	Is anyone sitting here?
没有。	Méiyǒu.	No.
我能坐这儿吗？	Wǒ néng zuò zhèr ma?	May I sit here?
请坐。	Qǐng zuò.	Please, have a seat.
现在十点十分。	Xiànzài shí diǎn shí fēn.	It's 10:10 now.
中午几点吃饭？	Zhōngwǔ jǐ diǎn chī fàn?	What time do we eat lunch?
十二点吃饭。	Shí'èr diǎn chī fàn.	We eat at twelve.
爸爸什么时候回家？	Bàba shénme shíhou huí jiā?	When is dad coming home?
下午五点。	Xiàwǔ wǔ diǎn.	At 5 p.m.
我们什么时候去看电影？	Wǒmen shénme shíhou qù kàn diànyǐng?	When are we going to watch a movie?
六点三十分。	Liù diǎn sānshí fēn.	At 6:30.
我星期一去北京。	Wǒ xīngqīyī qù Běijīng.	I'm going to Beijing on Monday.
你想在北京住几天？	Nǐ xiǎng zài Běijīng zhù jǐ tiān?	How many days do you want to stay in Beijing?
住三天。	Zhù sān tiān.	Three days.
星期五前能回家吗？	Xīngqīwǔ qián néng huí jiā ma?	Can you get home before Friday?
能。	Néng.	Yes.
昨天北京的天气怎么样？	Zuótiān Běijīng de tiānqì zěnmeyàng?	How was the weather in Beijing yesterday?
太热了。	Tài rè le.	It was too hot.
明天呢？明天天气怎么样？	Míngtiān ne? Míngtiān tiānqì zěnmeyàng?	And tomorrow? How's the weather tomorrow?
明天天气很好，不冷不热。	Míngtiān tiānqì hěn hǎo, bù lěng bú rè.	Tomorrow's weather is nice—neither cold nor hot.
今天会下雨吗？	Jīntiān huì xià yǔ ma?	Will it rain today?
今天不会下雨。	Jīntiān bú huì xià yǔ.	It won't rain today.
王小姐今天会来吗？	Wáng xiǎojiě jīntiān huì lái ma?	Will Miss Wang come today?
不会来，天气太冷了。	Bú huì lái, tiānqì tài lěng le.	No, it's too cold.
你身体怎么样？	Nǐ shēntǐ zěnmeyàng?	How's your health?
我身体不太好。天气太热了，不爱吃饭。	Wǒ shēntǐ bú tài hǎo. Tiānqì tài rè le, bú ài chī fàn.	I'm not feeling well. It's too hot, and I don't feel like eating.
你多吃些水果，多喝水。	Nǐ duō chī xiē shuǐguǒ, duō hē shuǐ.	Eat more fruit and drink more water.
谢谢你，医生。	Xièxie nǐ, yīshēng.	Thank you, doctor.
喂，你在做什么呢？	Wéi, nǐ zài zuò shénme ne?	Hello, what are you doing?
我在看书呢。	Wǒ zài kàn shū ne.	I'm reading.
大卫也在看书吗？	Dàwèi yě zài kàn shū ma?	Is David reading too?
他没看书，他在学做中国菜呢。	Tā méi kàn shū, tā zài xué zuò Zhōngguó cài ne.	He's not reading; he's learning to cook Chinese food.
昨天上午你在做什么呢？	Zuótiān shàngwǔ nǐ zài zuò shénme ne?	What were you doing yesterday morning?
我在睡觉呢。你呢？	Wǒ zài shuìjiào ne. Nǐ ne?	I was sleeping. How about you?
我在家看电视呢。你喜欢看电视吗？	Wǒ zài jiā kàn diànshì ne. Nǐ xǐhuan kàn diànshì ma?	I was watching TV at home. Do you like watching TV?
我不喜欢看电视，我喜欢看电影。	Wǒ bù xǐhuan kàn diànshì, wǒ xǐhuan kàn diànyǐng.	I don't like watching TV; I like watching movies.
82304155，这是李老师的电话吗？	82304155, zhè shì Lǐ lǎoshī de diànhuà ma?	82304155, is this Teacher Li's number?
不是。她的电话是82304156。	Bú shì. Tā de diànhuà shì 82304156.	No. Her number is 82304156.
好，我现在给她打电话。	Hǎo, wǒ xiànzài gěi tā dǎ diànhuà.	Okay, I'll call her now.
她在工作呢，你下午打吧。	Tā zài gōngzuò ne, nǐ xiàwǔ dǎ ba.	She's working; call her in the afternoon.
昨天上午你去哪儿了？	Zuótiān shàngwǔ nǐ qù nǎr le?	Where did you go yesterday morning?
我去商店买东西了。	Wǒ qù shāngdiàn mǎi dōngxi le.	I went shopping at the store.
你买什么了？	Nǐ mǎi shénme le?	What did you buy?
我买了一点儿苹果。	Wǒ mǎi le yìdiǎnr píngguǒ.	I bought some apples.
你看见张先生了吗？	Nǐ kànjiàn Zhāng xiānsheng le ma?	Have you seen Mr. Zhang?
看见了，他去学开车了。	Kànjiàn le, tā qù xué kāichē le.	Yes, he went to learn to drive.
他什么时候能回来？	Tā shénme shíhou néng huílai?	When can he come back?
40分钟后回来。	Sìshí fēnzhōng hòu huílai.	He'll be back in forty minutes.
王方的衣服太漂亮了！	Wáng Fāng de yīfu tài piàoliang le!	Wang Fang's clothes are so pretty!
是啊，她买了不少衣服。	Shì a, tā mǎi le bù shǎo yīfu.	Yeah, she bought quite a lot of clothes.
我没买，这些都是王方的东西。	Wǒ méi mǎi, zhèxiē dōu shì Wáng Fāng de dōngxi.	I didn't buy any; these are all Wang Fang's things.
你和李小姐是什么时候认识的？	Nǐ hé Lǐ xiǎojiě shì shénme shíhou rènshi de?	When did you and Miss Li meet?
我们是2011年9月认识的。	Wǒmen shì èr líng yī yī nián jiǔ yuè rènshi de.	We met in September 2011.
你们在哪儿认识的？	Nǐmen zài nǎr rènshi de?	Where did you meet?
我们是在学校认识的，她是我大学同学。	Wǒmen shì zài xuéxiào rènshi de, tā shì wǒ dàxué tóngxué.	We met at school; she's my college classmate.
你们是怎么来饭店的？	Nǐmen shì zěnme lái fàndiàn de?	How did you get to the restaurant?
我们是坐出租车来的。	Wǒmen shì zuò chūzūchē lái de.	We came by taxi.
李先生呢？	Lǐ xiānsheng ne?	And Mr. Li?
他是和朋友一起来的。	Tā shì hé péngyou yìqǐ lái de.	He came together with a friend.
很高兴认识您！李小姐。	Hěn gāoxìng rènshi nín! Lǐ xiǎojiě.	Very nice to meet you, Miss Li!
认识你我也很高兴！	Rènshi nǐ wǒ yě hěn gāoxìng!	Nice to meet you too!
听张先生说，您是坐飞机来北京的？	Tīng Zhāng xiānsheng shuō, nín shì zuò fēijī lái Běijīng de?	Mr. Zhang says you came to Beijing by plane?
是的。	Shì de.	Yes.
# --- 旧版 HSK2 (hsk-2) ---
我想去北京旅游，你觉得什么时候去最好？	Wǒ xiǎng qù Běijīng lǚyóu, nǐ juéde shénme shíhou qù zuì hǎo?	I want to travel to Beijing—when do you think is the best time to go?
九月去北京旅游最好。	Jiǔ yuè qù Běijīng lǚyóu zuì hǎo.	September is the best time to travel to Beijing.
为什么？	Wèishénme?	Why?
九月的北京天气不冷也不热。	Jiǔ yuè de Běijīng tiānqì bù lěng yě bú rè.	In September, Beijing's weather is neither cold nor hot.
你喜欢什么运动？	Nǐ xǐhuan shénme yùndòng?	What sports do you like?
我最喜欢踢足球。	Wǒ zuì xǐhuan tī zúqiú.	I like playing soccer the most.
下午我们一起去踢足球吧。	Xiàwǔ wǒmen yìqǐ qù tī zúqiú ba.	Let's go play soccer together this afternoon.
好啊！	Hǎo a!	Sure!
我们要不要买几个新的椅子？	Wǒmen yào bu yào mǎi jǐ ge xīn de yǐzi?	Should we buy a few new chairs?
好啊。什么时候去买？	Hǎo a. Shénme shíhou qù mǎi?	Sure. When should we go buy them?
明天下午怎么样？你明天几点能回来？	Míngtiān xiàwǔ zěnmeyàng? Nǐ míngtiān jǐ diǎn néng huílai?	How about tomorrow afternoon? What time can you be back tomorrow?
三点多。	Sān diǎn duō.	A little after three.
桌子下面有个猫。	Zhuōzi xiàmiàn yǒu ge māo.	There's a cat under the table.
那是我的猫，它叫花花。	Nà shì wǒ de māo, tā jiào Huāhua.	That's my cat; its name is Huahua.
它很漂亮。	Tā hěn piàoliang.	It's pretty.
是啊，我觉得它的眼睛最漂亮。	Shì a, wǒ juéde tā de yǎnjing zuì piàoliang.	Yeah, I think its eyes are the prettiest.
它多大了？	Tā duō dà le?	How old is it?
六个多月。	Liù ge duō yuè.	A little over six months.
你很少生病，是不是喜欢运动？	Nǐ hěn shǎo shēngbìng, shì bu shì xǐhuan yùndòng?	You rarely get sick—do you like exercising?
是啊，我每天早上都要出去跑步。	Shì a, wǒ měi tiān zǎoshang dōu yào chūqu pǎobù.	Yeah, I go out running every morning.
你每天几点起床？	Nǐ měi tiān jǐ diǎn qǐchuáng?	What time do you get up every day?
我每天六点起床。	Wǒ měi tiān liù diǎn qǐchuáng.	I get up at six every day.
吃药了吗？现在身体怎么样？	Chī yào le ma? Xiànzài shēntǐ zěnmeyàng?	Have you taken your medicine? How do you feel now?
吃了。现在好多了。	Chī le. Xiànzài hǎo duō le.	I have. I'm much better now.
什么时候能出院？	Shénme shíhou néng chūyuàn?	When can you be discharged?
医生说下个星期。	Yīshēng shuō xià ge xīngqī.	The doctor says next week.
大卫今年多大？	Dàwèi jīnnián duō dà?	How old is David this year?
二十多岁。	Èrshí duō suì.	In his twenties.
他多高？	Tā duō gāo?	How tall is he?
一米八几。	Yì mǐ bā jǐ.	One meter eighty-something.
你怎么知道这么多啊？	Nǐ zěnme zhīdào zhème duō a?	How do you know so much?
张老师星期六也不休息啊？	Zhāng lǎoshī xīngqīliù yě bù xiūxi a?	Teacher Zhang doesn't rest on Saturdays either?
是啊，他这几天很忙，没有时间休息。	Shì a, tā zhè jǐ tiān hěn máng, méiyǒu shíjiān xiūxi.	Yeah, he's been busy these days and has no time to rest.
那会很累吧？	Nà huì hěn lèi ba?	That must be tiring, right?
他每天回来都很累。	Tā měi tiān huílai dōu hěn lèi.	He comes back exhausted every day.
这块手表是你的吗？	Zhè kuài shǒubiǎo shì nǐ de ma?	Is this watch yours?
不是我的，是我爸爸的。	Bú shì wǒ de, shì wǒ bàba de.	It's not mine; it's my dad's.
多少钱买的？	Duōshao qián mǎi de?	How much did it cost?
三千多块。	Sānqiān duō kuài.	Over three thousand yuan.
这是今天早上的报纸吗？	Zhè shì jīntiān zǎoshang de bàozhǐ ma?	Is this this morning's newspaper?
不是，是昨天的。	Bú shì, shì zuótiān de.	No, it's yesterday's.
你听，是不是送报纸的来了？	Nǐ tīng, shì bu shì sòng bàozhǐ de lái le?	Listen, is that the newspaper delivery?
我看一下。不是，是送牛奶的。	Wǒ kàn yíxià. Bú shì, shì sòng niúnǎi de.	Let me check. No, it's the milk delivery.
这是谁的房间？	Zhè shì shéi de fángjiān?	Whose room is this?
这是我和我丈夫的，旁边那个小的房间是我女儿的。	Zhè shì wǒ hé wǒ zhàngfu de, pángbiān nàge xiǎo de fángjiān shì wǒ nǚ'ér de.	This is my husband's and mine; the small room next door is my daughter's.
你女儿的房间真漂亮！都是粉色的。	Nǐ nǚ'ér de fángjiān zhēn piàoliang! Dōu shì fěnsè de.	Your daughter's room is so pretty! It's all pink.
是啊，粉色是我女儿最喜欢的颜色。	Shì a, fěnsè shì wǒ nǚ'ér zuì xǐhuan de yánsè.	Yeah, pink is my daughter's favorite color.
你看见我的杯子了吗？	Nǐ kànjiàn wǒ de bēizi le ma?	Have you seen my cup?
这里有几个杯子，哪个是你的？	Zhèli yǒu jǐ ge bēizi, nǎge shì nǐ de?	There are several cups here—which one is yours?
左边那个红色的是我的。	Zuǒbian nàge hóngsè de shì wǒ de.	The red one on the left is mine.
给你。	Gěi nǐ.	Here you go.
生日快乐！这是送给你的！	Shēngrì kuàilè! Zhè shì sòng gěi nǐ de!	Happy birthday! This is for you!
是什么？是一本书吗？	Shì shénme? Shì yì běn shū ma?	What is it? Is it a book?
对，这本书是我写的。	Duì, zhè běn shū shì wǒ xiě de.	Yes, I wrote this book.
太谢谢你了！	Tài xièxie nǐ le!	Thank you so much!
早上有你一个电话。	Zǎoshang yǒu nǐ yí ge diànhuà.	There was a phone call for you this morning.
电话是谁打的？	Diànhuà shì shéi dǎ de?	Who called?
不知道，是儿子接的。	Bù zhīdào, shì érzi jiē de.	I don't know; our son answered.
好，晚上我问一下儿子。	Hǎo, wǎnshang wǒ wèn yíxià érzi.	Okay, I'll ask him tonight.
你喜欢踢足球吗？	Nǐ xǐhuan tī zúqiú ma?	Do you like playing soccer?
非常喜欢。	Fēicháng xǐhuan.	I love it.
你是什么时候开始踢足球的？	Nǐ shì shénme shíhou kāishǐ tī zúqiú de?	When did you start playing soccer?
我十一岁的时候开始踢足球，已经踢了十年了。	Wǒ shíyī suì de shíhou kāishǐ tī zúqiú, yǐjīng tī le shí nián le.	I started playing soccer at eleven; I've been playing for ten years now.
你在这儿工作多长时间了？	Nǐ zài zhèr gōngzuò duō cháng shíjiān le?	How long have you worked here?
已经两年多了，我是2011年来的。	Yǐjīng liǎng nián duō le, wǒ shì èr líng yī yī nián lái de.	Over two years now; I came in 2011.
你认识谢先生吗？	Nǐ rènshi Xiè xiānsheng ma?	Do you know Mr. Xie?
认识，我们是大学同学，这个工作是他帮我介绍的。	Rènshi, wǒmen shì dàxué tóngxué, zhège gōngzuò shì tā bāng wǒ jièshào de.	Yes, we're college classmates; he helped get me this job.
晚上我们去饭馆吃饭，怎么样？	Wǎnshang wǒmen qù fànguǎn chī fàn, zěnmeyàng?	How about we eat out at a restaurant tonight?
我不想去外面吃，我想在家吃。	Wǒ bù xiǎng qù wàimiàn chī, wǒ xiǎng zài jiā chī.	I don't want to eat out; I'd rather eat at home.
那你准备做什么呢？	Nà nǐ zhǔnbèi zuò shénme ne?	Then what are you going to make?
就做你爱吃的鱼吧。	Jiù zuò nǐ ài chī de yú ba.	I'll make the fish you like.
帮我看一下这件衣服怎么样？	Bāng wǒ kàn yíxià zhè jiàn yīfu zěnmeyàng?	Can you tell me how this piece of clothing looks?
颜色还可以，就是有点儿大。	Yánsè hái kěyǐ, jiù shì yǒudiǎnr dà.	The color's fine; it's just a bit big.
这件小的怎么样？	Zhè jiàn xiǎo de zěnmeyàng?	How about this smaller one?
这件不错，就买这件吧。	Zhè jiàn búcuò, jiù mǎi zhè jiàn ba.	This one's nice; let's buy this one.
今天去不去打球？	Jīntiān qù bu qù dǎ qiú?	Are we going to play ball today?
这两天有点儿累，不去打球了。	Zhè liǎng tiān yǒudiǎnr lèi, bú qù dǎ qiú le.	I've been a bit tired these days; I won't go play ball.
你在做什么呢？是在想昨天的考试吗？	Nǐ zài zuò shénme ne? Shì zài xiǎng zuótiān de kǎoshì ma?	What are you doing? Thinking about yesterday's exam?
是啊，我觉得听和说还可以，读和写不好，很多字我都不知道是什么意思。	Shì a, wǒ juéde tīng hé shuō hái kěyǐ, dú hé xiě bù hǎo, hěn duō zì wǒ dōu bù zhīdào shì shénme yìsi.	Yeah, I think my listening and speaking are okay, but reading and writing aren't good—I don't know what a lot of the characters mean.
休息一下吧，喝咖啡吗？	Xiūxi yíxià ba, hē kāfēi ma?	Take a break—want some coffee?
不喝了，我已经喝两杯了。	Bù hē le, wǒ yǐjīng hē liǎng bēi le.	No thanks, I've already had two cups.
是啊，咖啡喝多了对身体不好。	Shì a, kāfēi hē duō le duì shēntǐ bù hǎo.	Right, drinking too much coffee is bad for your health.
以后我少喝一点儿，每天喝一杯。	Yǐhòu wǒ shǎo hē yìdiǎnr, měi tiān hē yì bēi.	I'll drink less from now on—one cup a day.
你知道小王今天什么时候来学校吗？	Nǐ zhīdào Xiǎo Wáng jīntiān shénme shíhou lái xuéxiào ma?	Do you know when Xiao Wang is coming to school today?
他已经来了。	Tā yǐjīng lái le.	He's already here.
你怎么知道他来了？	Nǐ zěnme zhīdào tā lái le?	How do you know he's here?
我在门外看见他的自行车了。	Wǒ zài mén wài kànjiàn tā de zìxíngchē le.	I saw his bicycle outside the door.
今天的羊肉很好吃，你怎么不吃了？	Jīntiān de yángròu hěn hǎochī, nǐ zěnme bù chī le?	Today's lamb is delicious—why aren't you eating?
这个星期天天都吃羊肉，不想吃了。	Zhège xīngqī tiāntiān dōu chī yángròu, bù xiǎng chī le.	We've had lamb every day this week; I don't feel like it anymore.
那你还想吃什么？	Nà nǐ hái xiǎng chī shénme?	Then what else would you like to eat?
来一点儿面条吧。	Lái yìdiǎnr miàntiáo ba.	I'll have some noodles.
昨天你们怎么都没去打篮球？	Zuótiān nǐmen zěnme dōu méi qù dǎ lánqiú?	Why didn't any of you go play basketball yesterday?
因为昨天下雨，所以我们都没去。我去游泳了。	Yīnwèi zuótiān xià yǔ, suǒyǐ wǒmen dōu méi qù. Wǒ qù yóuyǒng le.	Because it rained yesterday, none of us went. I went swimming.
你经常游泳吗？	Nǐ jīngcháng yóuyǒng ma?	Do you swim often?
这个月我天天游泳，我现在七十公斤了。	Zhège yuè wǒ tiāntiān yóuyǒng, wǒ xiànzài qīshí gōngjīn le.	I've been swimming every day this month; I'm seventy kilos now.
这两天怎么没看见小张？	Zhè liǎng tiān zěnme méi kànjiàn Xiǎo Zhāng?	Why haven't I seen Xiao Zhang these last couple of days?
